time(s),x,y
8.5,1896,751
8.53,1879,754
8.57,1856,759
8.6,1832,764
8.63,1808,767
8.67,1784,772
8.7,1760,777
8.73,1736,782
8.77,1711,786
8.8,1686,790
8.83,1661,796
8.87,1635,801
8.9,1610,806
8.93,1584,811
8.97,1558,816
9.0,1531,821
9.03,1505,827
9.07,1478,832
9.1,1450,837
9.13,1424,843
9.17,1396,849
9.2,1369,854
9.23,1340,859
9.27,1312,865
9.3,1283,871
9.33,1254,877
9.37,1225,883
9.4,1195,889
9.43,1166,895
9.47,1136,902
9.5,1105,907
9.53,1075,914
9.57,1045,921
9.6,1013,928
9.63,982,934
9.67,949,941
9.7,918,948
9.73,885,955
9.77,853,962
9.8,820,970
9.83,787,977
9.87,753,985
9.9,720,992
9.93,685,999
9.97,651,1006
10.0,615,1012
10.03,582,1021
10.07,544,1027
10.1,509,1036
10.13,473,1045
10.17,436,1053
10.2,399,1060
10.23,363,1070
10.27,325,1080
10.3,312,720
10.83,309,1098
11.17,308,1037
